,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.795,0.885,8,-4.13,1,0.0713,0.0375,0.00638,0.292,0.46,126.037,audio_features,1RKZvaLj3UPhGjZkaIrFm7,spotify:track:1RKZvaLj3UPhGjZkaIrFm7,https://api.spotify.com/v1/tracks/1RKZvaLj3UPhGjZkaIrFm7,https://api.spotify.com/v1/audio-analysis/1RKZvaLj3UPhGjZkaIrFm7,169998,4
1,0.941,0.729,6,-7.56,0,0.246,0.146,0.00451,0.18,0.718,118.026,audio_features,7FbKipScVxkjQxQXwTd0gL,spotify:track:7FbKipScVxkjQxQXwTd0gL,https://api.spotify.com/v1/tracks/7FbKipScVxkjQxQXwTd0gL,https://api.spotify.com/v1/audio-analysis/7FbKipScVxkjQxQXwTd0gL,217881,4
2,0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,audio_features,1khmgu0pveJbkbpbkyvcQv,spotify:track:1khmgu0pveJbkbpbkyvcQv,https://api.spotify.com/v1/tracks/1khmgu0pveJbkbpbkyvcQv,https://api.spotify.com/v1/audio-analysis/1khmgu0pveJbkbpbkyvcQv,300579,4
3,0.766,0.763,1,-5.702,1,0.205,0.376,0.000176,0.1,0.732,186.004,audio_features,44DCGBt8P6iZPd0RRsZiMw,spotify:track:44DCGBt8P6iZPd0RRsZiMw,https://api.spotify.com/v1/tracks/44DCGBt8P6iZPd0RRsZiMw,https://api.spotify.com/v1/audio-analysis/44DCGBt8P6iZPd0RRsZiMw,248160,4
4,0.898,0.89,5,-2.155,1,0.0599,0.38,0.0622,0.171,0.672,117.064,audio_features,0BvhrGwe5MtFFf9gMIeWbp,spotify:track:0BvhrGwe5MtFFf9gMIeWbp,https://api.spotify.com/v1/tracks/0BvhrGwe5MtFFf9gMIeWbp,https://api.spotify.com/v1/audio-analysis/0BvhrGwe5MtFFf9gMIeWbp,249744,4
5,0.568,0.846,0,-3.794,1,0.27,0.173,1.61e-06,0.136,0.568,149.07,audio_features,0a41S6Hf3njfUbQTZyxWDq,spotify:track:0a41S6Hf3njfUbQTZyxWDq,https://api.spotify.com/v1/tracks/0a41S6Hf3njfUbQTZyxWDq,https://api.spotify.com/v1/audio-analysis/0a41S6Hf3njfUbQTZyxWDq,317000,5
6,0.875,0.909,9,-3.558,1,0.076,0.14,0.00185,0.0616,0.524,119.999,audio_features,4phvdPGXE8MGXsTBhqB5ht,spotify:track:4phvdPGXE8MGXsTBhqB5ht,https://api.spotify.com/v1/tracks/4phvdPGXE8MGXsTBhqB5ht,https://api.spotify.com/v1/audio-analysis/4phvdPGXE8MGXsTBhqB5ht,305526,4
7,0.857,0.981,11,-1.968,0,0.0519,0.189,0.00164,0.692,0.91,116.994,audio_features,2joDqfk2o1beVXlyaX2NoZ,spotify:track:2joDqfk2o1beVXlyaX2NoZ,https://api.spotify.com/v1/tracks/2joDqfk2o1beVXlyaX2NoZ,https://api.spotify.com/v1/audio-analysis/2joDqfk2o1beVXlyaX2NoZ,304872,4
8,0.824,0.85,0,-3.614,0,0.0521,0.0442,2.53e-06,0.111,0.769,96.005,audio_features,2qcMnJuHT2fJgGopinP3zL,spotify:track:2qcMnJuHT2fJgGopinP3zL,https://api.spotify.com/v1/tracks/2qcMnJuHT2fJgGopinP3zL,https://api.spotify.com/v1/audio-analysis/2qcMnJuHT2fJgGopinP3zL,225000,4
9,0.946,0.908,7,-6.233,1,0.0826,0.113,0.173,0.544,0.449,119.968,audio_features,5uAe6AXcN2SEOcOAy0Txkh,spotify:track:5uAe6AXcN2SEOcOAy0Txkh,https://api.spotify.com/v1/tracks/5uAe6AXcN2SEOcOAy0Txkh,https://api.spotify.com/v1/audio-analysis/5uAe6AXcN2SEOcOAy0Txkh,195250,4
10,0.86,0.835,9,-2.536,1,0.215,0.0441,1.69e-06,0.0831,0.346,125.167,audio_features,7iF7wJCFOIQOqghP7r94fe,spotify:track:7iF7wJCFOIQOqghP7r94fe,https://api.spotify.com/v1/tracks/7iF7wJCFOIQOqghP7r94fe,https://api.spotify.com/v1/audio-analysis/7iF7wJCFOIQOqghP7r94fe,192913,4
11,0.834,0.925,6,-1.783,0,0.0707,0.553,0.0152,0.234,0.798,117.987,audio_features,38FFVJJUFMn0D5jS2H32FH,spotify:track:38FFVJJUFMn0D5jS2H32FH,https://api.spotify.com/v1/tracks/38FFVJJUFMn0D5jS2H32FH,https://api.spotify.com/v1/audio-analysis/38FFVJJUFMn0D5jS2H32FH,205893,4
12,0.872,0.868,11,-5.208,1,0.0638,0.0193,4.87e-06,0.0707,0.714,111.928,audio_features,1UyXp5HSKNrSI55lm55gZ1,spotify:track:1UyXp5HSKNrSI55lm55gZ1,https://api.spotify.com/v1/tracks/1UyXp5HSKNrSI55lm55gZ1,https://api.spotify.com/v1/audio-analysis/1UyXp5HSKNrSI55lm55gZ1,204893,4
13,0.865,0.94,2,-0.479,1,0.153,0.105,1.85e-06,0.553,0.616,100.031,audio_features,4y4SfmkcTnFYClU3xhXgrD,spotify:track:4y4SfmkcTnFYClU3xhXgrD,https://api.spotify.com/v1/tracks/4y4SfmkcTnFYClU3xhXgrD,https://api.spotify.com/v1/audio-analysis/4y4SfmkcTnFYClU3xhXgrD,359075,4
14,0.807,0.947,11,-1.232,0,0.292,0.239,1.57e-06,0.103,0.601,118.084,audio_features,2z3D2gLbtXPkyLz2cdkFFd,spotify:track:2z3D2gLbtXPkyLz2cdkFFd,https://api.spotify.com/v1/tracks/2z3D2gLbtXPkyLz2cdkFFd,https://api.spotify.com/v1/audio-analysis/2z3D2gLbtXPkyLz2cdkFFd,197320,4
15,0.821,0.936,6,-3.163,1,0.0893,0.119,1.17e-06,0.299,0.836,119.964,audio_features,71pehRVEU19NHe07v0ZM7C,spotify:track:71pehRVEU19NHe07v0ZM7C,https://api.spotify.com/v1/tracks/71pehRVEU19NHe07v0ZM7C,https://api.spotify.com/v1/audio-analysis/71pehRVEU19NHe07v0ZM7C,197511,4
16,0.91,0.934,6,-3.532,1,0.0572,0.0875,0.0545,0.0717,0.903,111.996,audio_features,4umcAU9DuUctlImkcPATuB,spotify:track:4umcAU9DuUctlImkcPATuB,https://api.spotify.com/v1/tracks/4umcAU9DuUctlImkcPATuB,https://api.spotify.com/v1/audio-analysis/4umcAU9DuUctlImkcPATuB,251349,4
17,0.774,0.885,7,-3.776,1,0.0791,0.062,4.82e-06,0.0592,0.927,164.128,audio_features,3sGY8FbKKOs222Bvi7Vyv4,spotify:track:3sGY8FbKKOs222Bvi7Vyv4,https://api.spotify.com/v1/tracks/3sGY8FbKKOs222Bvi7Vyv4,https://api.spotify.com/v1/audio-analysis/3sGY8FbKKOs222Bvi7Vyv4,187196,4
18,0.791,0.882,10,-3.139,0,0.063,0.138,6.64e-06,0.594,0.527,120.107,audio_features,3qwYgeqpDEsQdHgCpDqYty,spotify:track:3qwYgeqpDEsQdHgCpDqYty,https://api.spotify.com/v1/tracks/3qwYgeqpDEsQdHgCpDqYty,https://api.spotify.com/v1/audio-analysis/3qwYgeqpDEsQdHgCpDqYty,183040,4
19,0.685,0.883,7,-3.533,1,0.213,0.199,0.0,0.419,0.34,124.545,audio_features,5FUe8JnbAljSJ48IrRXdvJ,spotify:track:5FUe8JnbAljSJ48IrRXdvJ,https://api.spotify.com/v1/tracks/5FUe8JnbAljSJ48IrRXdvJ,https://api.spotify.com/v1/audio-analysis/5FUe8JnbAljSJ48IrRXdvJ,183959,4
20,0.894,0.723,11,-5.61,0,0.0917,0.246,0.00475,0.15,0.487,116.003,audio_features,69I3KzUSur7pT3p8z7jhk5,spotify:track:69I3KzUSur7pT3p8z7jhk5,https://api.spotify.com/v1/tracks/69I3KzUSur7pT3p8z7jhk5,https://api.spotify.com/v1/audio-analysis/69I3KzUSur7pT3p8z7jhk5,216816,4
21,0.913,0.86,1,-1.383,1,0.131,0.25,0.000226,0.261,0.736,120.022,audio_features,41ezMG36bvrbJaJpvlbDFf,spotify:track:41ezMG36bvrbJaJpvlbDFf,https://api.spotify.com/v1/tracks/41ezMG36bvrbJaJpvlbDFf,https://api.spotify.com/v1/audio-analysis/41ezMG36bvrbJaJpvlbDFf,230000,4
22,0.882,0.814,0,-5.471,0,0.0849,0.0429,0.000673,0.435,0.855,122.962,audio_features,7rTsnvxE2Del41TkzwAlbf,spotify:track:7rTsnvxE2Del41TkzwAlbf,https://api.spotify.com/v1/tracks/7rTsnvxE2Del41TkzwAlbf,https://api.spotify.com/v1/audio-analysis/7rTsnvxE2Del41TkzwAlbf,239394,4
23,0.592,0.786,10,-4.471,0,0.39,0.445,0.0,0.111,0.72,175.246,audio_features,5WvRLpBKheIwhUbVTVlUz6,spotify:track:5WvRLpBKheIwhUbVTVlUz6,https://api.spotify.com/v1/tracks/5WvRLpBKheIwhUbVTVlUz6,https://api.spotify.com/v1/audio-analysis/5WvRLpBKheIwhUbVTVlUz6,289728,4
24,0.801,0.785,6,-3.895,1,0.343,0.267,0.0,0.0647,0.902,97.828,audio_features,5ldrlXHvzAb1oBgbQJa4bk,spotify:track:5ldrlXHvzAb1oBgbQJa4bk,https://api.spotify.com/v1/tracks/5ldrlXHvzAb1oBgbQJa4bk,https://api.spotify.com/v1/audio-analysis/5ldrlXHvzAb1oBgbQJa4bk,279184,4
25,0.869,0.919,8,-2.417,1,0.223,0.221,0.000354,0.22,0.549,123.997,audio_features,3m7vxaQ2h9z94Rq4OjVift,spotify:track:3m7vxaQ2h9z94Rq4OjVift,https://api.spotify.com/v1/tracks/3m7vxaQ2h9z94Rq4OjVift,https://api.spotify.com/v1/audio-analysis/3m7vxaQ2h9z94Rq4OjVift,212903,4
26,0.834,0.595,1,-2.721,1,0.313,0.106,0.0,0.24,0.466,104.906,audio_features,4wef3k6kgDG8tkkvjebJip,spotify:track:4wef3k6kgDG8tkkvjebJip,https://api.spotify.com/v1/tracks/4wef3k6kgDG8tkkvjebJip,https://api.spotify.com/v1/audio-analysis/4wef3k6kgDG8tkkvjebJip,212911,4
27,0.937,0.798,7,-2.573,1,0.291,0.00637,0.000587,0.119,0.183,124.004,audio_features,6HpPSy0xVGAmS4xHtG4L4j,spotify:track:6HpPSy0xVGAmS4xHtG4L4j,https://api.spotify.com/v1/tracks/6HpPSy0xVGAmS4xHtG4L4j,https://api.spotify.com/v1/audio-analysis/6HpPSy0xVGAmS4xHtG4L4j,208927,4
28,0.867,0.754,11,-3.143,1,0.365,0.203,0.0,0.0408,0.582,108.006,audio_features,4Sl2yHC6YUu4yOhHSooSkD,spotify:track:4Sl2yHC6YUu4yOhHSooSkD,https://api.spotify.com/v1/tracks/4Sl2yHC6YUu4yOhHSooSkD,https://api.spotify.com/v1/audio-analysis/4Sl2yHC6YUu4yOhHSooSkD,196153,4
29,0.541,0.824,6,-4.759,1,0.567,0.681,0.0,0.207,0.735,77.154,audio_features,3yaNgCPIMrJ1SNBlt6mewz,spotify:track:3yaNgCPIMrJ1SNBlt6mewz,https://api.spotify.com/v1/tracks/3yaNgCPIMrJ1SNBlt6mewz,https://api.spotify.com/v1/audio-analysis/3yaNgCPIMrJ1SNBlt6mewz,274887,4
30,0.7,0.71,11,-4.835,1,0.0532,0.327,0.0,0.129,0.582,167.971,audio_features,2IA8cFA46DkjgbsRG7kKbp,spotify:track:2IA8cFA46DkjgbsRG7kKbp,https://api.spotify.com/v1/tracks/2IA8cFA46DkjgbsRG7kKbp,https://api.spotify.com/v1/audio-analysis/2IA8cFA46DkjgbsRG7kKbp,235973,4
31,0.734,0.583,11,-11.764,0,0.0414,0.0867,0.259,0.0979,0.144,105.013,audio_features,4NLcgBskZkUYgpAVQF0sNI,spotify:track:4NLcgBskZkUYgpAVQF0sNI,https://api.spotify.com/v1/tracks/4NLcgBskZkUYgpAVQF0sNI,https://api.spotify.com/v1/audio-analysis/4NLcgBskZkUYgpAVQF0sNI,224698,4
32,0.637,0.513,11,-6.846,0,0.283,0.3,0.000571,0.0981,0.27,196.088,audio_features,6kTMnty169llVx9sGHb6LD,spotify:track:6kTMnty169llVx9sGHb6LD,https://api.spotify.com/v1/tracks/6kTMnty169llVx9sGHb6LD,https://api.spotify.com/v1/audio-analysis/6kTMnty169llVx9sGHb6LD,231909,4
33,0.576,0.806,8,-4.678,1,0.147,0.582,1.85e-06,0.0758,0.924,126.495,audio_features,6UGc9l0tpk1xSx9KV2fOVf,spotify:track:6UGc9l0tpk1xSx9KV2fOVf,https://api.spotify.com/v1/tracks/6UGc9l0tpk1xSx9KV2fOVf,https://api.spotify.com/v1/audio-analysis/6UGc9l0tpk1xSx9KV2fOVf,204277,5
34,0.76,0.838,6,-4.347,0,0.051,0.39,0.0,0.166,0.863,159.938,audio_features,4S8wmEZy12C5UJUU0IQUee,spotify:track:4S8wmEZy12C5UJUU0IQUee,https://api.spotify.com/v1/tracks/4S8wmEZy12C5UJUU0IQUee,https://api.spotify.com/v1/audio-analysis/4S8wmEZy12C5UJUU0IQUee,241504,4
35,0.654,0.733,9,-4.127,1,0.0705,0.59,3.48e-06,0.0751,0.45,140.005,audio_features,2YfOp1cJeaPwJCKe0gjo7y,spotify:track:2YfOp1cJeaPwJCKe0gjo7y,https://api.spotify.com/v1/tracks/2YfOp1cJeaPwJCKe0gjo7y,https://api.spotify.com/v1/audio-analysis/2YfOp1cJeaPwJCKe0gjo7y,281653,4
36,0.691,0.835,6,-4.495,0,0.0747,0.0412,0.000197,0.411,0.67,169.975,audio_features,1PeolWTkf6eq3K3qMXTkkN,spotify:track:1PeolWTkf6eq3K3qMXTkkN,https://api.spotify.com/v1/tracks/1PeolWTkf6eq3K3qMXTkkN,https://api.spotify.com/v1/audio-analysis/1PeolWTkf6eq3K3qMXTkkN,242000,4
37,0.748,0.532,2,-7.157,1,0.132,0.389,0.0,0.06,0.369,98.038,audio_features,3He16IbDCweYwKPIa9jbNS,spotify:track:3He16IbDCweYwKPIa9jbNS,https://api.spotify.com/v1/tracks/3He16IbDCweYwKPIa9jbNS,https://api.spotify.com/v1/audio-analysis/3He16IbDCweYwKPIa9jbNS,245987,4
38,0.694,0.842,2,-4.91,1,0.0624,0.147,1.05e-06,0.261,0.753,105.02,audio_features,14Q3OrXMvSTCJvqeSNXovU,spotify:track:14Q3OrXMvSTCJvqeSNXovU,https://api.spotify.com/v1/tracks/14Q3OrXMvSTCJvqeSNXovU,https://api.spotify.com/v1/audio-analysis/14Q3OrXMvSTCJvqeSNXovU,177328,4
39,0.746,0.733,0,-5.336,1,0.0391,0.0497,3.46e-05,0.0387,0.56,97.034,audio_features,3weZ9EdNe4qXlK4A23PxBH,spotify:track:3weZ9EdNe4qXlK4A23PxBH,https://api.spotify.com/v1/tracks/3weZ9EdNe4qXlK4A23PxBH,https://api.spotify.com/v1/audio-analysis/3weZ9EdNe4qXlK4A23PxBH,175670,4
40,0.869,0.846,7,-8.993,1,0.0556,0.474,0.0,0.0775,0.963,129.97,audio_features,0xqs2fssv31FOsKQjO5EhF,spotify:track:0xqs2fssv31FOsKQjO5EhF,https://api.spotify.com/v1/tracks/0xqs2fssv31FOsKQjO5EhF,https://api.spotify.com/v1/audio-analysis/0xqs2fssv31FOsKQjO5EhF,206191,4
41,0.736,0.623,0,-7.59,1,0.0467,0.047,1.07e-06,0.106,0.642,149.98,audio_features,0wiR7y1blI3vmrwvhLkYsx,spotify:track:0wiR7y1blI3vmrwvhLkYsx,https://api.spotify.com/v1/tracks/0wiR7y1blI3vmrwvhLkYsx,https://api.spotify.com/v1/audio-analysis/0wiR7y1blI3vmrwvhLkYsx,259587,4
42,0.749,0.818,3,-3.219,0,0.0467,0.183,4.62e-05,0.0479,0.827,97.978,audio_features,3CceXZxUn3u2E1kyJvN5fb,spotify:track:3CceXZxUn3u2E1kyJvN5fb,https://api.spotify.com/v1/tracks/3CceXZxUn3u2E1kyJvN5fb,https://api.spotify.com/v1/audio-analysis/3CceXZxUn3u2E1kyJvN5fb,150649,4
43,0.735,0.78,0,-6.154,1,0.381,0.337,0.0,0.349,0.826,98.057,audio_features,7kIP60tCZ6XlAtSbJjGlhU,spotify:track:7kIP60tCZ6XlAtSbJjGlhU,https://api.spotify.com/v1/tracks/7kIP60tCZ6XlAtSbJjGlhU,https://api.spotify.com/v1/audio-analysis/7kIP60tCZ6XlAtSbJjGlhU,707595,4
44,0.769,0.86,0,-3.341,1,0.375,0.345,0.0,0.65,0.833,98.044,audio_features,3SOY1DKorxsNPreFiuPwZ1,spotify:track:3SOY1DKorxsNPreFiuPwZ1,https://api.spotify.com/v1/tracks/3SOY1DKorxsNPreFiuPwZ1,https://api.spotify.com/v1/audio-analysis/3SOY1DKorxsNPreFiuPwZ1,370338,4
45,0.659,0.87,5,-3.937,0,0.0287,0.0313,0.0,0.109,0.619,145.956,audio_features,2QebSAWmxv8gw0BvOqQPFv,spotify:track:2QebSAWmxv8gw0BvOqQPFv,https://api.spotify.com/v1/tracks/2QebSAWmxv8gw0BvOqQPFv,https://api.spotify.com/v1/audio-analysis/2QebSAWmxv8gw0BvOqQPFv,187427,4
46,0.767,0.702,11,-5.363,0,0.0372,0.0165,0.0,0.0616,0.983,115.962,audio_features,0JNO59NigOfHWQQAClzAEs,spotify:track:0JNO59NigOfHWQQAClzAEs,https://api.spotify.com/v1/tracks/0JNO59NigOfHWQQAClzAEs,https://api.spotify.com/v1/audio-analysis/0JNO59NigOfHWQQAClzAEs,210963,4
47,0.678,0.872,7,-4.908,1,0.264,0.0378,0.0,0.145,0.952,95.061,audio_features,1VAJTs96cC8332LtN3i5vA,spotify:track:1VAJTs96cC8332LtN3i5vA,https://api.spotify.com/v1/tracks/1VAJTs96cC8332LtN3i5vA,https://api.spotify.com/v1/audio-analysis/1VAJTs96cC8332LtN3i5vA,259533,4
48,0.805,0.848,1,-5.849,1,0.0474,0.0342,2.43e-06,0.316,0.584,117.01,audio_features,1r1JsyDxWgMo9jE3dJcirm,spotify:track:1r1JsyDxWgMo9jE3dJcirm,https://api.spotify.com/v1/tracks/1r1JsyDxWgMo9jE3dJcirm,https://api.spotify.com/v1/audio-analysis/1r1JsyDxWgMo9jE3dJcirm,294827,4
49,0.724,0.912,4,-2.664,0,0.0432,0.19,0.000281,0.312,0.955,127.969,audio_features,3Rych4r0vBVbsqkR2kkKEi,spotify:track:3Rych4r0vBVbsqkR2kkKEi,https://api.spotify.com/v1/tracks/3Rych4r0vBVbsqkR2kkKEi,https://api.spotify.com/v1/audio-analysis/3Rych4r0vBVbsqkR2kkKEi,229320,4
50,0.869,0.805,1,-6.757,1,0.116,0.00496,0.0,0.0291,0.762,128.087,audio_features,6fmVrh7XQ0KD69AOufNMUL,spotify:track:6fmVrh7XQ0KD69AOufNMUL,https://api.spotify.com/v1/tracks/6fmVrh7XQ0KD69AOufNMUL,https://api.spotify.com/v1/audio-analysis/6fmVrh7XQ0KD69AOufNMUL,203493,4
51,0.665,0.924,1,-2.577,1,0.198,0.319,1.52e-05,0.0938,0.668,126.485,audio_features,6cFckWKvl4IrBmRZI995kG,spotify:track:6cFckWKvl4IrBmRZI995kG,https://api.spotify.com/v1/tracks/6cFckWKvl4IrBmRZI995kG,https://api.spotify.com/v1/audio-analysis/6cFckWKvl4IrBmRZI995kG,215301,4
52,0.887,0.792,6,-1.775,0,0.304,0.163,3.31e-06,0.0787,0.506,90.738,audio_features,6R8PlLgNFv8WysXspoTmTR,spotify:track:6R8PlLgNFv8WysXspoTmTR,https://api.spotify.com/v1/tracks/6R8PlLgNFv8WysXspoTmTR,https://api.spotify.com/v1/audio-analysis/6R8PlLgNFv8WysXspoTmTR,234453,3
53,0.656,0.716,5,-3.959,0,0.495,0.104,6.77e-06,0.0824,0.606,185.85,audio_features,5nUJPQreW88E30aHM2HHm7,spotify:track:5nUJPQreW88E30aHM2HHm7,https://api.spotify.com/v1/tracks/5nUJPQreW88E30aHM2HHm7,https://api.spotify.com/v1/audio-analysis/5nUJPQreW88E30aHM2HHm7,200652,4
54,0.865,0.914,2,-3.81,1,0.0459,0.269,0.000462,0.174,0.706,115.015,audio_features,0LlWBlBmg2OOibYOnF9Dm0,spotify:track:0LlWBlBmg2OOibYOnF9Dm0,https://api.spotify.com/v1/tracks/0LlWBlBmg2OOibYOnF9Dm0,https://api.spotify.com/v1/audio-analysis/0LlWBlBmg2OOibYOnF9Dm0,152660,4
55,0.816,0.917,8,-3.28,0,0.0503,0.0567,5.54e-05,0.885,0.964,122.017,audio_features,5lhPjPAJ2eETbkSBziCRWs,spotify:track:5lhPjPAJ2eETbkSBziCRWs,https://api.spotify.com/v1/tracks/5lhPjPAJ2eETbkSBziCRWs,https://api.spotify.com/v1/audio-analysis/5lhPjPAJ2eETbkSBziCRWs,200725,4
56,0.86,0.801,7,-4.758,1,0.183,0.0189,0.0109,0.344,0.454,109.039,audio_features,3hDD5EhhH9bxXEEuwsyQT8,spotify:track:3hDD5EhhH9bxXEEuwsyQT8,https://api.spotify.com/v1/tracks/3hDD5EhhH9bxXEEuwsyQT8,https://api.spotify.com/v1/audio-analysis/3hDD5EhhH9bxXEEuwsyQT8,171442,4
57,0.839,0.77,3,-3.696,0,0.107,0.262,2.41e-05,0.355,0.44,135.023,audio_features,0PHsVUWTCuSy3t8r4sm4OV,spotify:track:0PHsVUWTCuSy3t8r4sm4OV,https://api.spotify.com/v1/tracks/0PHsVUWTCuSy3t8r4sm4OV,https://api.spotify.com/v1/audio-analysis/0PHsVUWTCuSy3t8r4sm4OV,225816,4
58,0.851,0.718,0,-6.74,0,0.225,0.193,0.00112,0.0713,0.642,104.921,audio_features,07BugovfF5V3Bd2nsDxmVa,spotify:track:07BugovfF5V3Bd2nsDxmVa,https://api.spotify.com/v1/tracks/07BugovfF5V3Bd2nsDxmVa,https://api.spotify.com/v1/audio-analysis/07BugovfF5V3Bd2nsDxmVa,172385,4
59,0.936,0.701,5,-8.945,0,0.114,0.0309,8.73e-06,0.344,0.963,119.905,audio_features,5Uks6VIHmWLNoamsvD9Fuh,spotify:track:5Uks6VIHmWLNoamsvD9Fuh,https://api.spotify.com/v1/tracks/5Uks6VIHmWLNoamsvD9Fuh,https://api.spotify.com/v1/audio-analysis/5Uks6VIHmWLNoamsvD9Fuh,152526,4
60,0.656,0.939,10,-0.762,0,0.253,0.444,0.0481,0.0469,0.912,122.385,audio_features,5hG3xtRax4lX4gUTbK1UkP,spotify:track:5hG3xtRax4lX4gUTbK1UkP,https://api.spotify.com/v1/tracks/5hG3xtRax4lX4gUTbK1UkP,https://api.spotify.com/v1/audio-analysis/5hG3xtRax4lX4gUTbK1UkP,251613,4
61,0.894,0.723,11,-5.61,0,0.0917,0.246,0.00475,0.15,0.487,116.003,audio_features,69I3KzUSur7pT3p8z7jhk5,spotify:track:69I3KzUSur7pT3p8z7jhk5,https://api.spotify.com/v1/tracks/69I3KzUSur7pT3p8z7jhk5,https://api.spotify.com/v1/audio-analysis/69I3KzUSur7pT3p8z7jhk5,216816,4
62,0.679,0.838,7,-3.616,1,0.236,0.441,0.0032,0.139,0.649,115.029,audio_features,2ecaPx5QDfsxGUThU6rHUZ,spotify:track:2ecaPx5QDfsxGUThU6rHUZ,https://api.spotify.com/v1/tracks/2ecaPx5QDfsxGUThU6rHUZ,https://api.spotify.com/v1/audio-analysis/2ecaPx5QDfsxGUThU6rHUZ,275391,4
63,0.913,0.86,1,-1.383,1,0.131,0.25,0.000226,0.261,0.736,120.022,audio_features,41ezMG36bvrbJaJpvlbDFf,spotify:track:41ezMG36bvrbJaJpvlbDFf,https://api.spotify.com/v1/tracks/41ezMG36bvrbJaJpvlbDFf,https://api.spotify.com/v1/audio-analysis/41ezMG36bvrbJaJpvlbDFf,230000,4
64,0.559,0.895,10,-2.26,0,0.437,0.356,0.0864,0.375,0.914,185.805,audio_features,39BWAAsvNEM87UsDsL1DM5,spotify:track:39BWAAsvNEM87UsDsL1DM5,https://api.spotify.com/v1/tracks/39BWAAsvNEM87UsDsL1DM5,https://api.spotify.com/v1/audio-analysis/39BWAAsvNEM87UsDsL1DM5,164516,3
65,0.691,0.871,1,-3.055,1,0.199,0.105,0.057,0.273,0.804,230.0,audio_features,3C7ErK9zTcj1rpXhyH4eBG,spotify:track:3C7ErK9zTcj1rpXhyH4eBG,https://api.spotify.com/v1/tracks/3C7ErK9zTcj1rpXhyH4eBG,https://api.spotify.com/v1/audio-analysis/3C7ErK9zTcj1rpXhyH4eBG,229565,4
66,0.801,0.785,6,-3.895,1,0.343,0.267,0.0,0.0647,0.902,97.828,audio_features,5ldrlXHvzAb1oBgbQJa4bk,spotify:track:5ldrlXHvzAb1oBgbQJa4bk,https://api.spotify.com/v1/tracks/5ldrlXHvzAb1oBgbQJa4bk,https://api.spotify.com/v1/audio-analysis/5ldrlXHvzAb1oBgbQJa4bk,279184,4
67,0.908,0.907,1,-0.763,1,0.151,0.245,0.000354,0.24,0.8,120.042,audio_features,5XqekpV3dsMMTPl4YQGtpo,spotify:track:5XqekpV3dsMMTPl4YQGtpo,https://api.spotify.com/v1/tracks/5XqekpV3dsMMTPl4YQGtpo,https://api.spotify.com/v1/audio-analysis/5XqekpV3dsMMTPl4YQGtpo,196141,4
